cluster,voorhees_nn,overlap,kl_divergence,density,nmrd
failed_transfer,1.0,0.40038637816905975,8.297188237232639,0.048950880489508804,0.7350045665143135
fiat_currency_support,1.0,0.4547121226787567,8.935150670078551,0.058182813355227146,0.7834712537815146
get_disposable_virtual_card,1.0,0.5094309598207474,7.092579296803715,0.07115916519989943,0.8360204629102074
get_physical_card,1.0,0.4473119229078293,7.390611336892386,0.05982155916337575,0.8383411813354068
getting_spare_card,0.9,0.3536509871482849,8.699723225632592,0.06006501625406352,0.7313371765826154
getting_virtual_card,1.0,0.5521450191736221,7.0672715544267515,0.06917885264341957,0.8984042750322077
lost_or_stolen_card,1.0,0.3807533085346222,7.245776390010151,0.05702805582969125,0.7301845564774688
lost_or_stolen_phone,1.0,0.3592817634344101,7.154332695520704,0.05990618717891445,0.8281887809604281
order_physical_card,0.9,0.3628970980644226,8.091604442450313,0.05579710144927536,0.6854454005143619
passcode_forgotten,1.0,0.42987748980522156,7.649151553406182,0.059649897028537804,0.9294675128535048
pending_card_payment,1.0,0.40173816680908203,7.9867761197815685,0.05734069025208266,0.847099742665515
pending_cash_withdrawal,1.0,0.38182447850704193,8.03178127254275,0.05787316132143718,0.7493855041798884
pending_top_up,1.0,0.3558158427476883,7.876149345083814,0.046313659692064746,0.6764972565281785
pending_transfer,1.0,0.37834028899669647,8.351626303416378,0.047342044030785756,0.672423639855394
pin_blocked,1.0,0.4183347225189209,7.519310678471485,0.05821846282372598,0.8250801721541375
receiving_money,1.0,0.22326233983039856,8.48277298174535,0.05846544071020926,0.6662908288330243
request_refund,1.0,0.37344545125961304,8.22437399286871,0.043775108349330114,0.8305710231019794
reverted_card_payment?,1.0,0.3052798807621002,8.172581255647678,0.04435393544445576,0.7041750031204562
supported_cards_and_currencies,0.8,0.2283502072095871,9.043786534285532,0.06960013384641124,0.5887233271350728
terminate_account,1.0,0.45574840903282166,6.978795218035286,0.06066411238825032,0.9724537161773442
top_up_by_bank_transfer_charge,0.4,0.2946814298629761,9.08596225638178,0.07403055229142186,0.6760441542999386
top_up_by_card_charge,1.0,0.33113929629325867,8.283089093361504,0.09947037404832837,0.7510741801265147
top_up_by_cash_or_cheque,1.0,0.33052393794059753,7.300641029681534,0.06390977443609022,0.7390507136885326
top_up_failed,0.9,0.3331845700740814,7.64019173001427,0.049442190669371194,0.6029849711938817
top_up_limits,1.0,0.5755740031599998,7.490394288508108,0.08126137052759248,0.8941957874485906
top_up_reverted,0.6,0.3350393772125244,7.939351794981889,0.05029570843653642,0.6579221264299485
topping_up_by_card,1.0,0.18693429231643677,7.471618379382008,0.06474593367797252,0.5730019053187746
transaction_charged_twice,1.0,0.3220447450876236,8.684434352926866,0.04435205661211853,0.81377503054705
transfer_fee_charged,1.0,0.37148359417915344,8.170383260978046,0.04014181840033652,0.7749345853190679
transfer_into_account,1.0,0.39213843643665314,6.8824321632685805,0.07561254590331708,0.8359825797668063
transfer_not_received_by_recipient,0.6,0.2462119162082672,8.657336110783532,0.050339325680456286,0.5440775428120134
transfer_timing,0.8,0.38281893730163574,8.003271423682106,0.07124379139072848,0.697904656591544
unable_to_verify_identity,0.7,0.3616364598274231,8.803764299417985,0.04911209766925638,0.7164643044573396
verify_my_identity,1.0,0.5252309888601303,7.820544957906912,0.06499701848539058,0.8219923885815397
verify_source_of_funds,1.0,0.4246048331260681,7.659534526017631,0.0831015592077539,0.9056953602153995
verify_top_up,1.0,0.46522657573223114,7.074122899904157,0.07553134248049502,0.9227416395298084
virtual_card_not_working,1.0,0.48026609420776367,6.547309955138922,0.11629982153480072,0.7602308955515711
visa_or_mastercard,1.0,0.42493633925914764,7.580699194294209,0.05411942554799698,0.8844597826809781
why_verify_identity,1.0,0.4031895697116852,8.475401209057265,0.053169636459179284,0.7428051567327472
wrong_amount_of_cash_received,1.0,0.29722827672958374,8.228512268584916,0.050929368029739776,0.734321815965075
wrong_exchange_rate_for_cash_withdrawal,1.0,0.36573076248168945,7.959932269644829,0.04891338255173131,0.723160987029251
